     Pressure (Pa)     C7-500 (mol/kg)        3mC6-500 (mol/kg)
    0.6500000000E+07    0.3959184797E+00    0.3067535734E+00
    0.6700000000E+07    0.3966425925E+00    0.3069096799E+00
    0.6900000000E+07    0.3973594651E+00    0.3070699907E+00
    0.7100000000E+07    0.3980694534E+00    0.3072342373E+00
    0.7300000000E+07    0.3987728834E+00    0.3074021732E+00
    0.7500000000E+07    0.3994700541E+00    0.3075735712E+00
    0.7700000000E+07    0.4001612406E+00    0.3077482214E+00
    0.7900000000E+07    0.4008466964E+00    0.3079259298E+00
    0.8100000000E+07    0.4015266560E+00    0.3081065165E+00
    0.8300000000E+07    0.4022013366E+00    0.3082898146E+00
    0.8500000000E+07    0.4028709394E+00    0.3084756687E+00
    0.8700000000E+07    0.4035356519E+00    0.3086639342E+00
    0.8900000000E+07    0.4041956487E+00    0.3088544761E+00
    0.9100000000E+07    0.4048510924E+00    0.3090471683E+00
    0.9300000000E+07    0.4055021355E+00    0.3092418928E+00
    0.9500000000E+07    0.4061489205E+00    0.3094385391E+00
    0.9700000000E+07    0.4067915811E+00    0.3096370034E+00
    0.9900000000E+07    0.4074302428E+00    0.3098371883E+00
    0.1000000000E+07    0.3679298144E+00    0.3072788537E+00
    0.3000000000E+07    0.3813707528E+00    0.3052039377E+00
    0.5000000000E+07    0.3902100077E+00    0.3057514763E+00
    0.7000000000E+07    0.3977152987E+00    0.3071516379E+00
    0.9000000000E+07    0.4045239299E+00    0.3089505610E+00
    0.1100000000E+08    0.4108763528E+00    0.3109651252E+00
    0.1300000000E+08    0.4168909343E+00    0.3131038091E+00
    0.1500000000E+08    0.4226356652E+00    0.3153147593E+00
    0.1700000000E+08    0.4281538602E+00    0.3175660904E+00
    0.1900000000E+08    0.4334752726E+00    0.3198370512E+00
    0.2100000000E+08    0.4386215526E+00    0.3221135768E+00
    0.2300000000E+08    0.4436091883E+00    0.3243858498E+00
    0.2500000000E+08    0.4484512059E+00    0.3266468723E+00
    0.2700000000E+08    0.4531582109E+00    0.3288915846E+00
    0.2900000000E+08    0.4577390551E+00    0.3311162979E+00
    0.3100000000E+08    0.4622012807E+00    0.3333183159E+00
    0.3300000000E+08    0.4665514262E+00    0.3354956753E+00
    0.3500000000E+08    0.4707952425E+00    0.3376469623E+00
    0.3700000000E+08    0.4749378505E+00    0.3397711808E+00
    0.3900000000E+08    0.4789838571E+00    0.3418676559E+00
    0.4100000000E+08    0.4829374439E+00    0.3439359617E+00
    0.4300000000E+08    0.4868024351E+00    0.3459758668E+00
    0.4500000000E+08    0.4905823501E+00    0.3479872925E+00
    0.4700000000E+08    0.4942804467E+00    0.3499702802E+00
    0.4900000000E+08    0.4978997543E+00    0.3519249665E+00
