     Pressure (Pa)     C7-500 (mol/kg)        3mC6-500 (mol/kg)
    0.3000000000E+08    0.2165923488E+00    0.5338613001E+00
    0.5000000000E+08    0.2268458197E+00    0.5648902894E+00
    0.7000000000E+08    0.2361598081E+00    0.5925385349E+00
    0.9000000000E+08    0.2446088618E+00    0.6173764182E+00
    0.1100000000E+09    0.2522924075E+00    0.6398268811E+00
    0.1300000000E+09    0.2593035089E+00    0.6602246415E+00
    0.1500000000E+09    0.2657237032E+00    0.6788418791E+00
    0.1700000000E+09    0.2716231319E+00    0.6959034817E+00
    0.1900000000E+09    0.2770618731E+00    0.7115974039E+00
    0.2100000000E+09    0.2820914291E+00    0.7260821819E+00
    0.2300000000E+09    0.2867560813E+00    0.7394925857E+00
    0.2500000000E+09    0.2910940497E+00    0.7519439715E+00
    0.2700000000E+09    0.2951384607E+00    0.7635356893E+00
    0.2900000000E+09    0.2989181485E+00    0.7743537851E+00
    0.3100000000E+09    0.3024583160E+00    0.7844731674E+00
    0.3300000000E+09    0.3057810819E+00    0.7939593600E+00
    0.3500000000E+09    0.3089059335E+00    0.8028699317E+00
    0.3700000000E+09    0.3118501033E+00    0.8112556708E+00
    0.3900000000E+09    0.3146288847E+00    0.8191615571E+00
    0.4100000000E+09    0.3172558948E+00    0.8266275705E+00
    0.4300000000E+09    0.3197432981E+00    0.8336893678E+00
    0.4500000000E+09    0.3221019935E+00    0.8403788523E+00
    0.4700000000E+09    0.3243417750E+00    0.8467246555E+00
    0.4900000000E+09    0.3264714674E+00    0.8527525465E+00
    0.5100000000E+09    0.3284990436E+00    0.8584857810E+00
    0.5300000000E+09    0.3304317241E+00    0.8639454008E+00
    0.5500000000E+09    0.3322760643E+00    0.8691504910E+00
    0.5700000000E+09    0.3340380289E+00    0.8741184027E+00
    0.5900000000E+09    0.3357230568E+00    0.8788649453E+00
    0.6100000000E+09    0.3373361182E+00    0.8834045540E+00
    0.6300000000E+09    0.3388817635E+00    0.8877504365E+00
    0.6500000000E+09    0.3403641670E+00    0.8919147000E+00
    0.6700000000E+09    0.3417871649E+00    0.8959084642E+00
    0.6900000000E+09    0.3431542887E+00    0.8997419595E+00
    0.7100000000E+09    0.3444687952E+00    0.9034246144E+00
    0.7300000000E+09    0.3457336921E+00    0.9069651323E+00
    0.7500000000E+09    0.3469517622E+00    0.9103715603E+00
    0.7700000000E+09    0.3481255833E+00    0.9136513496E+00
    0.7900000000E+09    0.3492575470E+00    0.9168114098E+00
    0.8100000000E+09    0.3503498756E+00    0.9198581569E+00
    0.8300000000E+09    0.3514046360E+00    0.9227975572E+00
    0.8500000000E+09    0.3524237540E+00    0.9256351654E+00
    0.8700000000E+09    0.3534090253E+00    0.9283761599E+00
    0.8900000000E+09    0.3543621269E+00    0.9310253739E+00
    0.9100000000E+09    0.3552846265E+00    0.9335873239E+00
    0.9300000000E+09    0.3561779913E+00    0.9360662350E+00
    0.9500000000E+09    0.3570435960E+00    0.9384660640E+00
    0.9700000000E+09    0.3578827298E+00    0.9407905207E+00
    0.9900000000E+09    0.3586966032E+00    0.9430430864E+00
    0.1000000000E+09    0.2485402529E+00    0.6288774643E+00
